YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-29.3463,-29.3463,-29.3463,1,Andorra
2018-01-02,-7.5708,-7.5708,-7.5708,1,Andorra
2018-01-03,-5.2891,-5.2891,-5.2891,1,Andorra
2018-01-04,-7.3551,-7.3551,-7.3551,1,Andorra
2018-01-05,-9.9866,-9.9866,-9.9866,1,Andorra
2018-01-06,-5.9990,-5.9990,-5.9990,1,Andorra
2018-01-07,-3.4195,-3.4195,-3.4195,1,Andorra
2018-01-08,1.3414,1.3414,1.3414,1,Andorra
2018-01-09,2.5983,2.5983,2.5983,1,Andorra
2018-01-10,3.7691,3.7691,3.7691,1,Andorra
2018-01-11,4.1379,4.1379,4.1379,1,Andorra
2018-01-12,3.0497,3.0497,3.0497,1,Andorra
2018-01-13,3.0497,3.0497,3.0497,0,Andorra
2018-01-14,3.0497,3.0497,3.0497,0,Andorra
2018-01-15,4.8975,4.8975,4.8975,1,Andorra
2018-01-16,5.7728,5.7728,5.7728,1,Andorra
2018-01-17,6.9493,6.9493,6.9493,1,Andorra
2018-01-18,7.2759,7.2759,7.2759,1,Andorra
2018-01-19,8.0545,8.0545,8.0545,1,Andorra
2018-01-20,8.5608,8.5608,8.5608,1,Andorra
2018-01-21,11.7681,11.7681,11.7681,1,Andorra
2018-01-22,11.5397,11.5397,11.5397,1,Andorra
2018-01-23,12.0933,12.0933,12.0933,1,Andorra
2018-01-24,13.3756,13.3756,13.3756,1,Andorra
2018-01-25,15.1157,15.1157,15.1157,1,Andorra
2018-01-26,14.6232,14.6232,14.6232,1,Andorra
2018-01-27,12.7612,12.7612,12.7612,1,Andorra
2018-01-28,10.7945,10.7945,10.7945,1,Andorra
2018-01-29,10.6572,10.6572,10.6572,1,Andorra
2018-01-30,9.8498,9.8498,9.8498,1,Andorra
2018-01-31,9.1811,9.1811,9.1811,1,Andorra
2018-02-01,9.5034,9.5034,9.5034,1,Andorra
2018-02-02,7.7203,7.7203,7.7203,1,Andorra
2018-02-03,6.3845,6.3845,6.3845,1,Andorra
2018-02-04,5.2957,5.2957,5.2957,0,Andorra
2018-02-05,6.5492,6.5492,6.5492,1,Andorra
2018-02-06,5.9079,5.9079,5.9079,1,Andorra
2018-02-07,5.1563,5.1563,5.1563,1,Andorra
2018-02-08,3.7873,3.7873,3.7873,1,Andorra
2018-02-09,4.7935,4.7935,4.7935,1,Andorra
2018-02-10,2.9306,2.9306,2.9306,1,Andorra
2018-02-11,3.9180,3.9180,3.9180,1,Andorra
2018-02-12,2.8984,2.8984,2.8984,1,Andorra
2018-02-13,3.2611,3.2611,3.2611,1,Andorra
2018-02-14,4.0725,4.0725,4.0725,1,Andorra
2018-02-15,4.5339,4.5339,4.5339,1,Andorra
2018-02-16,5.3480,5.3480,5.3480,1,Andorra
2018-02-17,5.2243,5.2243,5.2243,1,Andorra
2018-02-18,4.0771,4.0771,4.0771,1,Andorra
2018-02-19,3.6135,3.6135,3.6135,1,Andorra
2018-02-20,3.1270,3.1270,3.1270,1,Andorra
2018-02-21,1.9461,1.9461,1.9461,1,Andorra
2018-02-22,2.8510,2.8510,2.8510,1,Andorra
2018-02-23,3.6570,3.6570,3.6570,1,Andorra
2018-02-24,4.4645,4.4645,4.4645,1,Andorra
2018-02-25,3.5541,3.5541,3.5541,1,Andorra
2018-02-26,2.9295,2.9295,2.9295,1,Andorra
2018-02-27,1.9391,1.9391,1.9391,1,Andorra
2018-02-28,3.4833,3.4833,3.4833,1,Andorra
2018-03-01,4.4642,4.4642,4.4642,1,Andorra
2018-03-02,4.7403,4.7403,4.7403,1,Andorra
2018-03-03,5.5788,5.5788,5.5788,1,Andorra
2018-03-04,6.9818,6.9818,6.9818,1,Andorra
2018-03-05,6.3646,6.3646,6.3646,1,Andorra
2018-03-06,5.3455,5.3455,5.3455,1,Andorra
2018-03-07,5.2928,5.2928,5.2928,1,Andorra
2018-03-08,5.9000,5.9000,5.9000,1,Andorra
2018-03-09,6.0690,6.0690,6.0690,1,Andorra
2018-03-10,6.7542,6.7542,6.7542,1,Andorra
2018-03-11,6.9128,6.9128,6.9128,1,Andorra
2018-03-12,8.1498,8.1498,8.1498,1,Andorra
2018-03-13,9.3768,9.3768,9.3768,1,Andorra
2018-03-14,8.4047,8.4047,8.4047,1,Andorra
2018-03-15,7.9382,7.9382,7.9382,1,Andorra
2018-03-16,7.6903,7.6903,7.6903,1,Andorra
2018-03-17,6.8369,6.8369,6.8369,1,Andorra
2018-03-18,7.0021,7.0021,7.0021,1,Andorra
2018-03-19,7.8012,7.8012,7.8012,1,Andorra
2018-03-20,5.3941,5.3941,5.3941,1,Andorra
2018-03-21,-1.2305,-1.2305,-1.2305,1,Andorra
2018-03-22,-1.8803,-1.8803,-1.8803,1,Andorra
2018-03-23,-4.8028,-4.8028,-4.8028,1,Andorra
2018-03-24,-5.9694,-5.9694,-5.9694,1,Andorra
2018-03-25,-7.5322,-7.5322,-7.5322,1,Andorra
2018-03-26,-6.9860,-6.9860,-6.9860,1,Andorra
2018-03-27,-6.1160,-6.1160,-6.1160,1,Andorra
2018-03-28,-6.7660,-6.7660,-6.7660,1,Andorra
2018-03-29,-8.3703,-8.3703,-8.3703,1,Andorra
2018-03-30,-10.8864,-10.8864,-10.8864,1,Andorra
2018-03-31,-11.1612,-11.1612,-11.1612,1,Andorra
2018-04-01,-10.9108,-10.9108,-10.9108,1,Andorra
2018-04-02,-11.4001,-11.4001,-11.4001,1,Andorra
2018-04-03,-9.3895,-9.3895,-9.3895,1,Andorra
2018-04-04,-9.1987,-9.1987,-9.1987,0,Andorra
2018-04-05,-9.9316,-9.9316,-9.9316,1,Andorra
2018-04-06,-9.8296,-9.8296,-9.8296,1,Andorra
2018-04-07,-8.9343,-8.9343,-8.9343,1,Andorra
2018-04-08,-8.8968,-8.8968,-8.8968,1,Andorra
2018-04-09,-7.7076,-7.7076,-7.7076,1,Andorra
2018-04-10,-3.7204,-3.7204,-3.7204,1,Andorra
2018-04-11,-1.2307,-1.2307,-1.2307,1,Andorra
2018-04-12,0.8044,0.8044,0.8044,1,Andorra
2018-04-13,0.7226,0.7226,0.7226,1,Andorra
2018-04-14,3.9744,3.9744,3.9744,1,Andorra
2018-04-15,3.5973,3.5973,3.5973,1,Andorra
2018-04-16,2.9561,2.9561,2.9561,1,Andorra
2018-04-17,4.0647,4.0647,4.0647,1,Andorra
2018-04-18,5.8914,5.8914,5.8914,1,Andorra
2018-04-19,8.8876,8.8876,8.8876,1,Andorra
2018-04-20,9.7149,9.7149,9.7149,1,Andorra
2018-04-21,8.7856,8.7856,8.7856,1,Andorra
2018-04-22,8.4923,8.4923,8.4923,1,Andorra
2018-04-23,10.4377,10.4377,10.4377,1,Andorra
2018-04-24,10.4377,10.4377,10.4377,0,Andorra
2018-04-25,10.9662,10.9662,10.9662,0,Andorra
2018-04-26,10.6656,10.6656,10.6656,1,Andorra
2018-04-27,5.8400,5.8400,5.8400,1,Andorra
2018-04-28,3.5486,3.5486,3.5486,1,Andorra
2018-04-29,3.8044,3.8044,3.8044,1,Andorra
2018-04-30,0.9592,0.9592,0.9592,1,Andorra
2018-05-01,-2.9988,-2.9988,-2.9988,1,Andorra
2018-05-02,-4.6953,-4.6953,-4.6953,0,Andorra
2018-05-03,-4.9543,-4.9543,-4.9543,1,Andorra
2018-05-04,-8.0300,-8.0300,-8.0300,1,Andorra
2018-05-05,-6.8281,-6.8281,-6.8281,1,Andorra
2018-05-06,-7.3589,-7.3589,-7.3589,1,Andorra
2018-05-07,-7.5399,-7.5399,-7.5399,1,Andorra
2018-05-08,-4.9813,-4.9813,-4.9813,1,Andorra
2018-05-09,-5.4066,-5.4066,-5.4066,1,Andorra
2018-05-10,-7.2702,-7.2702,-7.2702,1,Andorra
2018-05-11,-6.8885,-6.8885,-6.8885,1,Andorra
2018-05-12,-6.0566,-6.0566,-6.0566,1,Andorra
2018-05-13,-10.9042,-10.9042,-10.9042,1,Andorra
2018-05-14,-10.3918,-10.3918,-10.3918,1,Andorra
2018-05-15,-8.8664,-8.8664,-8.8664,1,Andorra
2018-05-16,-6.3362,-6.3362,-6.3362,1,Andorra
2018-05-17,-2.0957,-2.0957,-2.0957,1,Andorra
2018-05-18,0.3447,0.3447,0.3447,1,Andorra
2018-05-19,0.5552,0.5552,0.5552,1,Andorra
2018-05-20,2.8215,2.8215,2.8215,1,Andorra
2018-05-21,2.6488,2.6488,2.6488,1,Andorra
2018-05-22,2.5105,2.5105,2.5105,1,Andorra
2018-05-23,2.8563,2.8563,2.8563,1,Andorra
2018-05-24,3.8748,3.8748,3.8748,1,Andorra
2018-05-25,2.9155,2.9155,2.9155,1,Andorra
2018-05-26,3.6499,3.6499,3.6499,1,Andorra
2018-05-27,3.1114,3.1114,3.1114,1,Andorra
2018-05-28,1.3602,1.3602,1.3602,1,Andorra
2018-05-29,2.3246,2.3246,2.3246,1,Andorra
2018-05-30,5.0673,5.0673,5.0673,1,Andorra
2018-05-31,5.4365,5.4365,5.4365,1,Andorra
2018-06-01,5.5865,5.5865,5.5865,1,Andorra
2018-06-02,8.0678,8.0678,8.0678,1,Andorra
2018-06-03,9.1828,9.1828,9.1828,1,Andorra
2018-06-04,8.1785,8.1785,8.1785,1,Andorra
2018-06-05,5.7558,5.7558,5.7558,1,Andorra
2018-06-06,6.1146,6.1146,6.1146,1,Andorra
2018-06-07,6.8387,6.8387,6.8387,1,Andorra
2018-06-08,7.4506,7.4506,7.4506,1,Andorra
2018-06-09,8.8246,8.8246,8.8246,1,Andorra
2018-06-10,13.8233,13.8233,13.8233,1,Andorra
2018-06-11,13.9445,13.9445,13.9445,1,Andorra
2018-06-12,16.0118,16.0118,16.0118,1,Andorra
2018-06-13,16.0886,16.0886,16.0886,1,Andorra
2018-06-14,15.1554,15.1554,15.1554,1,Andorra
2018-06-15,14.2168,14.2168,14.2168,1,Andorra
2018-06-16,14.2077,14.2077,14.2077,1,Andorra
2018-06-17,14.1222,14.1222,14.1222,1,Andorra
2018-06-18,12.8706,12.8706,12.8706,1,Andorra
2018-06-19,12.3298,12.3298,12.3298,1,Andorra
2018-06-20,11.5509,11.5509,11.5509,1,Andorra
2018-06-21,11.5915,11.5915,11.5915,1,Andorra
2018-06-22,10.3122,10.3122,10.3122,1,Andorra
2018-06-23,8.9792,8.9792,8.9792,1,Andorra
2018-06-24,8.8612,8.8612,8.8612,1,Andorra
2018-06-25,8.8431,8.8431,8.8431,1,Andorra
2018-06-26,7.9036,7.9036,7.9036,1,Andorra
2018-06-27,7.2795,7.2795,7.2795,1,Andorra
2018-06-28,5.5846,5.5846,5.5846,1,Andorra
2018-06-29,3.3580,3.3580,3.3580,1,Andorra
2018-06-30,-1.6990,-1.6990,-1.6990,1,Andorra
2018-07-01,-1.4948,-1.4948,-1.4948,1,Andorra
2018-07-02,-3.6218,-3.6218,-3.6218,1,Andorra
2018-07-03,-1.9702,-1.9702,-1.9702,1,Andorra
2018-07-04,-1.3650,-1.3650,-1.3650,1,Andorra
2018-07-05,-1.1826,-1.1826,-1.1826,1,Andorra
2018-07-06,-1.9872,-1.9872,-1.9872,1,Andorra
2018-07-07,-2.6011,-2.6011,-2.6011,0,Andorra
2018-07-08,-2.5079,-2.5079,-2.5079,0,Andorra
2018-07-09,-3.6389,-3.6389,-3.6389,0,Andorra
2018-07-10,-2.2014,-2.2014,-2.2014,1,Andorra
2018-07-11,-3.7112,-3.7112,-3.7112,1,Andorra
2018-07-12,-2.8499,-2.8499,-2.8499,1,Andorra
2018-07-13,-3.2249,-3.2249,-3.2249,1,Andorra
2018-07-14,-2.6729,-2.6729,-2.6729,1,Andorra
2018-07-15,-3.3853,-3.3853,-3.3853,1,Andorra
2018-07-16,-2.4691,-2.4691,-2.4691,1,Andorra
2018-07-17,-1.1336,-1.1336,-1.1336,1,Andorra
2018-07-18,-0.8174,-0.8174,-0.8174,1,Andorra
2018-07-19,0.7592,0.7592,0.7592,0,Andorra
2018-07-20,2.7219,2.7219,2.7219,1,Andorra
2018-07-21,3.6667,3.6667,3.6667,1,Andorra
2018-07-22,1.5845,1.5845,1.5845,1,Andorra
2018-07-23,-2.0941,-2.0941,-2.0941,1,Andorra
2018-07-24,-2.5195,-2.5195,-2.5195,0,Andorra
2018-07-25,-3.3095,-3.3095,-3.3095,0,Andorra
2018-07-26,0.0785,0.0785,0.0785,1,Andorra
2018-07-27,0.0785,0.0785,0.0785,0,Andorra
2018-07-28,0.0785,0.0785,0.0785,0,Andorra
2018-07-29,1.6535,1.6535,1.6535,1,Andorra
2018-07-30,2.0663,2.0663,2.0663,1,Andorra
2018-07-31,4.2138,4.2138,4.2138,1,Andorra
2018-08-01,5.1635,5.1635,5.1635,1,Andorra
2018-08-02,7.1808,7.1808,7.1808,1,Andorra
2018-08-03,9.3610,9.3610,9.3610,1,Andorra
2018-08-04,10.8108,10.8108,10.8108,1,Andorra
2018-08-05,10.6985,10.6985,10.6985,1,Andorra
2018-08-06,8.4172,8.4172,8.4172,1,Andorra
2018-08-07,8.5887,8.5887,8.5887,1,Andorra
2018-08-08,7.4338,7.4338,7.4338,1,Andorra
2018-08-09,10.5375,10.5375,10.5375,1,Andorra
2018-08-10,8.5621,8.5621,8.5621,1,Andorra
2018-08-11,12.0622,12.0622,12.0622,1,Andorra
2018-08-12,13.0956,13.0956,13.0956,1,Andorra
2018-08-13,13.6434,13.6434,13.6434,1,Andorra
2018-08-14,11.3655,11.3655,11.3655,1,Andorra
2018-08-15,7.4848,7.4848,7.4848,1,Andorra
2018-08-16,5.8477,5.8477,5.8477,1,Andorra
2018-08-17,6.5758,6.5758,6.5758,1,Andorra
2018-08-18,4.5372,4.5372,4.5372,1,Andorra
2018-08-19,0.2779,0.2779,0.2779,1,Andorra
2018-08-20,0.7302,0.7302,0.7302,1,Andorra
2018-08-21,1.4449,1.4449,1.4449,1,Andorra
2018-08-22,2.5778,2.5778,2.5778,1,Andorra
2018-08-23,3.0200,3.0200,3.0200,1,Andorra
2018-08-24,2.5110,2.5110,2.5110,1,Andorra
2018-08-25,1.3982,1.3982,1.3982,1,Andorra
2018-08-26,0.6633,0.6633,0.6633,1,Andorra
2018-08-27,1.0859,1.0859,1.0859,1,Andorra
2018-08-28,1.5643,1.5643,1.5643,1,Andorra
2018-08-29,0.2245,0.2245,0.2245,1,Andorra
2018-08-30,0.7221,0.7221,0.7221,1,Andorra
2018-08-31,0.0366,0.0366,0.0366,1,Andorra
2018-09-01,-1.0376,-1.0376,-1.0376,1,Andorra
2018-09-02,-3.1738,-3.1738,-3.1738,1,Andorra
2018-09-03,-1.8432,-1.8432,-1.8432,1,Andorra
2018-09-04,0.3625,0.3625,0.3625,1,Andorra
2018-09-05,2.1453,2.1453,2.1453,1,Andorra
2018-09-06,1.8088,1.8088,1.8088,1,Andorra
2018-09-07,2.9948,2.9948,2.9948,1,Andorra
2018-09-08,5.0216,5.0216,5.0216,1,Andorra
2018-09-09,2.0415,2.0415,2.0415,1,Andorra
2018-09-10,2.6729,2.6729,2.6729,1,Andorra
2018-09-11,1.5417,1.5417,1.5417,1,Andorra
2018-09-12,-0.3204,-0.3204,-0.3204,1,Andorra
2018-09-13,1.2688,1.2688,1.2688,1,Andorra
2018-09-14,1.4608,1.4608,1.4608,1,Andorra
2018-09-15,1.4367,1.4367,1.4367,1,Andorra
2018-09-16,-0.5000,-0.5000,-0.5000,1,Andorra
2018-09-17,1.1117,1.1117,1.1117,1,Andorra
2018-09-18,1.3012,1.3012,1.3012,1,Andorra
2018-09-19,1.6890,1.6890,1.6890,1,Andorra
2018-09-20,2.8827,2.8827,2.8827,1,Andorra
2018-09-21,4.9777,4.9777,4.9777,1,Andorra
2018-09-22,6.3089,6.3089,6.3089,0,Andorra
2018-09-23,6.7008,6.7008,6.7008,0,Andorra
2018-09-24,6.9064,6.9064,6.9064,1,Andorra
2018-09-25,5.8985,5.8985,5.8985,1,Andorra
2018-09-26,4.6931,4.6931,4.6931,1,Andorra
2018-09-27,6.6414,6.6414,6.6414,1,Andorra
2018-09-28,12.0452,12.0452,12.0452,1,Andorra
2018-09-29,15.2500,15.2500,15.2500,0,Andorra
2018-09-30,13.2033,13.2033,13.2033,0,Andorra
2018-10-01,12.9170,12.9170,12.9170,1,Andorra
2018-10-02,12.5389,12.5389,12.5389,1,Andorra
2018-10-03,8.8097,8.8097,8.8097,1,Andorra
2018-10-04,8.5347,8.5347,8.5347,1,Andorra
2018-10-05,10.2577,10.2577,10.2577,1,Andorra
2018-10-06,12.1404,12.1404,12.1404,1,Andorra
2018-10-07,6.2958,6.2958,6.2958,1,Andorra
2018-10-08,5.4208,5.4208,5.4208,1,Andorra
2018-10-09,5.0482,5.0482,5.0482,1,Andorra
2018-10-10,4.2920,4.2920,4.2920,1,Andorra
2018-10-11,3.7945,3.7945,3.7945,1,Andorra
2018-10-12,3.6883,3.6883,3.6883,1,Andorra
2018-10-13,3.6883,3.6883,3.6883,0,Andorra
2018-10-14,0.8168,0.8168,0.8168,1,Andorra
2018-10-15,3.3865,3.3865,3.3865,1,Andorra
2018-10-16,3.4664,3.4664,3.4664,1,Andorra
2018-10-17,0.4440,0.4440,0.4440,1,Andorra
2018-10-18,-3.2256,-3.2256,-3.2256,1,Andorra
2018-10-19,-2.5879,-2.5879,-2.5879,1,Andorra
2018-10-20,-2.6837,-2.6837,-2.6837,1,Andorra
2018-10-21,-4.0918,-4.0918,-4.0918,1,Andorra
2018-10-22,-2.9960,-2.9960,-2.9960,1,Andorra
2018-10-23,-1.6653,-1.6653,-1.6653,0,Andorra
2018-10-24,-1.3061,-1.3061,-1.3061,0,Andorra
2018-10-25,0.8136,0.8136,0.8136,1,Andorra
2018-10-26,4.5413,4.5413,4.5413,1,Andorra
2018-10-27,8.0501,8.0501,8.0501,1,Andorra
2018-10-28,8.4788,8.4788,8.4788,0,Andorra
2018-10-29,8.7131,8.7131,8.7131,1,Andorra
2018-10-30,8.0746,8.0746,8.0746,1,Andorra
2018-10-31,5.6201,5.6201,5.6201,1,Andorra
2018-11-01,4.4365,4.4365,4.4365,1,Andorra
2018-11-02,3.0625,3.0625,3.0625,1,Andorra
2018-11-03,3.4398,3.4398,3.4398,1,Andorra
2018-11-04,1.3060,1.3060,1.3060,0,Andorra
2018-11-05,1.8370,1.8370,1.8370,0,Andorra
2018-11-06,2.6583,2.6583,2.6583,0,Andorra
2018-11-07,1.9635,1.9635,1.9635,1,Andorra
2018-11-08,1.0617,1.0617,1.0617,1,Andorra
2018-11-09,0.7013,0.7013,0.7013,1,Andorra
2018-11-10,0.5792,0.5792,0.5792,1,Andorra
2018-11-11,-1.2688,-1.2688,-1.2688,0,Andorra
2018-11-12,-0.6413,-0.6413,-0.6413,1,Andorra
2018-11-13,-0.0513,-0.0513,-0.0513,1,Andorra
2018-11-14,-2.9724,-2.9724,-2.9724,1,Andorra
2018-11-15,-6.4257,-6.4257,-6.4257,1,Andorra
2018-11-16,-6.4908,-6.4908,-6.4908,1,Andorra
2018-11-17,-6.4405,-6.4405,-6.4405,1,Andorra
2018-11-18,-7.5387,-7.5387,-7.5387,1,Andorra
2018-11-19,-7.0325,-7.0325,-7.0325,1,Andorra
2018-11-20,-4.5620,-4.5620,-4.5620,1,Andorra
2018-11-21,-3.3517,-3.3517,-3.3517,1,Andorra
2018-11-22,-2.3137,-2.3137,-2.3137,0,Andorra
2018-11-23,0.1071,0.1071,0.1071,1,Andorra
2018-11-24,0.2412,0.2412,0.2412,1,Andorra
2018-11-25,1.4649,1.4649,1.4649,1,Andorra
2018-11-26,1.3160,1.3160,1.3160,1,Andorra
2018-11-27,1.4487,1.4487,1.4487,1,Andorra
2018-11-28,2.5190,2.5190,2.5190,1,Andorra
2018-11-29,3.5021,3.5021,3.5021,1,Andorra
2018-11-30,6.8781,6.8781,6.8781,1,Andorra
2018-12-01,6.9554,6.9554,6.9554,1,Andorra
2018-12-02,6.4904,6.4904,6.4904,1,Andorra
2018-12-03,7.1730,7.1730,7.1730,1,Andorra
2018-12-04,9.4605,9.4605,9.4605,1,Andorra
2018-12-05,11.4604,11.4604,11.4604,1,Andorra
2018-12-06,14.6392,14.6392,14.6392,1,Andorra
2018-12-07,18.1942,18.1942,18.1942,1,Andorra
2018-12-08,21.4881,21.4881,21.4881,1,Andorra
2018-12-09,20.2737,20.2737,20.2737,1,Andorra
2018-12-10,22.5931,22.5931,22.5931,1,Andorra
2018-12-11,24.6753,24.6753,24.6753,1,Andorra
2018-12-12,25.3742,25.3742,25.3742,1,Andorra
2018-12-13,26.8220,26.8220,26.8220,1,Andorra
2018-12-14,26.3160,26.3160,26.3160,1,Andorra
2018-12-15,25.7575,25.7575,25.7575,1,Andorra
2018-12-16,24.7876,24.7876,24.7876,1,Andorra
2018-12-17,23.9424,23.9424,23.9424,1,Andorra
2018-12-18,23.7105,23.7105,23.7105,1,Andorra
2018-12-19,24.2384,24.2384,24.2384,1,Andorra
2018-12-20,22.0407,22.0407,22.0407,1,Andorra
2018-12-21,21.9355,21.9355,21.9355,1,Andorra
2018-12-22,22.9586,22.9586,22.9586,1,Andorra
2018-12-23,22.0964,22.0964,22.0964,1,Andorra
2018-12-24,21.2346,21.2346,21.2346,1,Andorra
2018-12-25,18.2377,18.2377,18.2377,1,Andorra
2018-12-26,15.3674,15.3674,15.3674,1,Andorra
2018-12-27,13.4159,13.4159,13.4159,1,Andorra
2018-12-28,11.7829,11.7829,11.7829,1,Andorra
2018-12-29,12.9518,12.9518,12.9518,1,Andorra
2018-12-30,11.5520,11.5520,11.5520,1,Andorra
2018-12-31,8.8373,8.8373,8.8373,1,Andorra
2019-01-01,7.2680,7.2680,7.2680,0,Andorra
2019-01-02,5.2484,5.2484,5.2484,1,Andorra
2019-01-03,5.5120,5.5120,5.5120,1,Andorra
2019-01-04,3.6088,3.6088,3.6088,1,Andorra
2019-01-05,3.1379,3.1379,3.1379,1,Andorra
2019-01-06,3.2703,3.2703,3.2703,1,Andorra
2019-01-07,2.0120,2.0120,2.0120,1,Andorra
2019-01-08,1.1874,1.1874,1.1874,1,Andorra
2019-01-09,-0.2921,-0.2921,-0.2921,1,Andorra
2019-01-10,-1.1226,-1.1226,-1.1226,1,Andorra
2019-01-11,-3.5421,-3.5421,-3.5421,1,Andorra
2019-01-12,-3.8329,-3.8329,-3.8329,1,Andorra
2019-01-13,-5.0552,-5.0552,-5.0552,1,Andorra
2019-01-14,-3.7011,-3.7011,-3.7011,1,Andorra
2019-01-15,-2.1504,-2.1504,-2.1504,1,Andorra
2019-01-16,-2.9757,-2.9757,-2.9757,1,Andorra
2019-01-17,-3.1727,-3.1727,-3.1727,1,Andorra
2019-01-18,-2.7213,-2.7213,-2.7213,1,Andorra
2019-01-19,-2.7986,-2.7986,-2.7986,1,Andorra
2019-01-20,-2.3683,-2.3683,-2.3683,1,Andorra
2019-01-21,-1.9136,-1.9136,-1.9136,1,Andorra
2019-01-22,-1.9953,-1.9953,-1.9953,1,Andorra
2019-01-23,-1.8451,-1.8451,-1.8451,1,Andorra
2019-01-24,-0.0543,-0.0543,-0.0543,1,Andorra
2019-01-25,2.9873,2.9873,2.9873,1,Andorra
2019-01-26,4.5437,4.5437,4.5437,1,Andorra
2019-01-27,6.2831,6.2831,6.2831,1,Andorra
2019-01-28,7.3305,7.3305,7.3305,1,Andorra
2019-01-29,10.8101,10.8101,10.8101,1,Andorra
2019-01-30,11.7644,11.7644,11.7644,1,Andorra
2019-01-31,14.0283,14.0283,14.0283,1,Andorra
2019-02-01,14.9151,14.9151,14.9151,1,Andorra
2019-02-02,15.6113,15.6113,15.6113,1,Andorra
2019-02-03,14.2391,14.2391,14.2391,1,Andorra
2019-02-04,13.2345,13.2345,13.2345,1,Andorra
2019-02-05,13.8283,13.8283,13.8283,1,Andorra
2019-02-06,13.8189,13.8189,13.8189,0,Andorra
2019-02-07,13.3716,13.3716,13.3716,0,Andorra
2019-02-08,12.8492,12.8492,12.8492,0,Andorra
2019-02-09,13.9110,13.9110,13.9110,0,Andorra
2019-02-10,14.3901,14.3901,14.3901,0,Andorra
2019-02-11,16.6130,16.6130,16.6130,1,Andorra
2019-02-12,18.0407,18.0407,18.0407,1,Andorra
2019-02-13,18.7533,18.7533,18.7533,1,Andorra
2019-02-14,16.2748,16.2748,16.2748,1,Andorra
2019-02-15,16.1747,16.1747,16.1747,1,Andorra
2019-02-16,18.8695,18.8695,18.8695,1,Andorra
2019-02-17,17.7580,17.7580,17.7580,1,Andorra
2019-02-18,15.3191,15.3191,15.3191,1,Andorra
2019-02-19,14.7679,14.7679,14.7679,1,Andorra
2019-02-20,14.7516,14.7516,14.7516,1,Andorra
2019-02-21,14.0979,14.0979,14.0979,1,Andorra
2019-02-22,14.7281,14.7281,14.7281,1,Andorra
2019-02-23,16.8505,16.8505,16.8505,1,Andorra
2019-02-24,17.0637,17.0637,17.0637,1,Andorra
2019-02-25,15.9596,15.9596,15.9596,1,Andorra
2019-02-26,15.9795,15.9795,15.9795,1,Andorra
2019-02-27,15.4363,15.4363,15.4363,1,Andorra
2019-02-28,14.5653,14.5653,14.5653,1,Andorra
2019-03-01,15.1625,15.1625,15.1625,1,Andorra
2019-03-02,14.3052,14.3052,14.3052,1,Andorra
2019-03-03,14.1496,14.1496,14.1496,1,Andorra
2019-03-04,12.7864,12.7864,12.7864,1,Andorra
2019-03-05,11.5203,11.5203,11.5203,1,Andorra
2019-03-06,12.3248,12.3248,12.3248,1,Andorra
2019-03-07,11.3066,11.3066,11.3066,1,Andorra
2019-03-08,7.7877,7.7877,7.7877,1,Andorra
2019-03-09,7.5832,7.5832,7.5832,1,Andorra
2019-03-10,6.6809,6.6809,6.6809,1,Andorra
2019-03-11,5.9787,5.9787,5.9787,1,Andorra
2019-03-12,5.6956,5.6956,5.6956,1,Andorra
2019-03-13,4.6676,4.6676,4.6676,1,Andorra
2019-03-14,2.7529,2.7529,2.7529,1,Andorra
